Physical,Social,Personal Care,Domestic,Recreational Activities,Sports,Games,Professional,Violent,Fantastic,Food and Drink,Animal-Related,Situational
,,,,,,,,,,,,wedding
Movement,Greetings and Farewells,Hygiene,Cooking,Sports,Sports,Hand games,Manual Labor,Attacks and Fights,Magic and Sorcery,Eating and Drinking,Animal Care,presenting
crawling,waving,bathing,cooking,playing sports,American football,cat's cradle,building,punching,summoning,eating,feeding,camping
diving,bowing,washing,baking,running,Badminton,forehead flick,repairing,kicking,mind reading,drinking,grooming,rescuing
dragging,,dishwashing,chopping,snowing,Baseball,rock paper scissors,welding,hitting,glowing,chewing,watering,
driving,Emotional Expressions,brushing hair,chocolate making,swimming,Basketball,pen spinning,carving,slapping,teleporting,swallowing,hatching,
jumping,begging,ear cleaning,roasting,freediving,Beach volleyball,,constructing,elbowing,flying,tasting,milking,
training,cheering,tooth brushing,stirring,skiing,Billiards,Card games,assembling,slashing,levitating,feeding,egg laying,
hopping,glaring,washing hands,grilling,skating,Bowling,card game,cutting,whipping,telekinesis,pov feeding,petting,
sliding,imagining,cleaning,crushing,figure skating,Boxing,hanafuda,farming,kneeing,time manipulation,drooling,taming,
skipping,concentrating,drying,dissolving,ice skating,Croquet,playing card,blacksmithing,scratching,enchantment,licking,training,
triple wielding,sulking,sweating,,boxing,Curling,solitaire,fishing,choking,casting spells,sipping,walking,
hitchhiking,moaning,drooling,Cleaning,fencing,Dodgeball,tarot,whittling,wrestling,enchanting,gulping,hatching,
wading,pouting,peeing,sweeping,racing,Fencing,uno,upholstering,boxing,flying on a broom,slurping,breeding,
skinny dipping,blushing,sneezing,dishwashing,diving,Field Hockey,,weaving,biting,spellcasting,munching,sheltering,
walking,grinning,nose picking,cleaning,bowling,Gateball,Puzzle games,working,strangling,Transformations,Food Preparation,healing,
stepping,sighing,covering privates,polishing,arm wrestling,Golf,crossword puzzle,hammering,hitting,shapeshifting,cooking,rescuing,
pet walking,yawning,wrist cutting,washing,hiking,Gymnastics,jenga,sawing,battle,transforming,chopping,Interaction with Animals,
rope walking,panicking,body soaping,drying,bullfighting,Ice hockey,metal puzzle,digging,bullying,melting,mixing,petting,
wallwalking,giggling,showering,scrubbing,horse riding,Ice skating,puzzle,welding,kidnapping,morphing,pouring,riding,
freediving,laughing,headpat,sweeping,martial arts,Judo,jigsaw puzzle,spraying,robbing,phasing,decantering,horseback riding,
surfing,crying,shaving,mopping,pole dancing,Kabaddi,sliding puzzle,studying,thieving,broom riding,grilling,animal milking,
broom surfing,sobbing,brushing teeth,dusting,surfing,Kemari,rubik's cube,,stalking,umbrella riding,roasting,tail fondling,
sky surfing,smiling,taking medicine,vacuuming,broom surfing,Lacrosse,,Technology and Computing,shooting,fading,baking,biting,
