Animals,Birds,Bugs,Cat & Felin,Dog & Canin,Reptile / Amphibian,Aquatic life,legendary creatures
,Birds,Bug,,,Crocodile,,
General,Albatross,Ant,Main and variations,Main and variations,Frog,Fish,Type
Bird,Southern Royal Albatross,Bee,cat,dog,Tadpole,Alligator gar,Angel
Bug,Barred Buttonquail,Beetle,Black panther,dog on head,Iguana,Angelfish,Archangel
Cat,Blue Jay,Butterfly,Kitten,guide dog,Lizard,Anglerfish,Cherub
Crustacean,Bluebird,Caterpillar,Cheetah,multiple dogs,Frill-necked lizard,Arapaima,Seraph
Dog,Blue-footed Booby,Centipede,Leopard,too many dogs (a lot of dogs),Snake,Arowana,Anubis
Fish,Cassowary,Cicada,Lion,puppy,Turtle,Bichir,Astarte
Bug,Southern Cassowary,Cockroach,Tiger,Coyote,Salamander,Butterflyfish,Bakeneko
Reptile,Cardinal_(animal),Cricket,giant cat,Dhole,Axolotl,Catfish,Nekomata
Whale,Northern Cardinal,Cave cricket,too many cats,Dingo,Hellbender,Carp,Basilisk
,Chick,Dragonfly,,Fox,,Goldfish,Behemoth
Rodent,Chicken,Firefly,Cat Breeds,Jackal,,Koi,Centaur
Beaver,Rooster,Fireflies,Abyssinian,Wolf,,Clownfish,Centauroid
Capybara,Cockatiel,Fly,American Bobtail,,,Coelacanth,Cerberus
Chipmunk,Cockatoo,Grasshopper,American Curl,Dog breeds,,Dunkleosteus,Chimera
Ferret,Blue-eyed Cockatoo,Ladybug,American Shorthair,Airedale Terrier,,Eel,Griffin
Guinea pig,Major Mitchell's Cockatoo,Leucochloridium paradoxum,American Wirehair,Akita,,Leopard eel,Hippogriff
Hamster,Palm Cockatoo,Millipede,Australian Mist,Alaskan Malamute,,Moray eel,Pegasus
Mouse,Sulphur-crested Cockatoo,Mosquito,Balinese,Australian Shepherd,,Flying fish,Shachihoko
Naked mole rat,yellowtip cockatoo,Moth,Bengal cat,Basset Hound,,Lamprey,Sphinx
Squirrel,Condor,Pillbug,Birman,Beagle,,Leafy Seadragon,Cockatrice
Weasel,Andean Condor,Wasp,Bombay cat,Belgian Malinois,,Manta ray,Cryptid
,Cormorant,Arachnid,British Longhair,Bernese Mountain Dog,,Needlefish,Chupacabra
Small / Medium animals,Crane (animal),Spider,British Shorthair,Bichon Frise,,Oarfish,Flatwoods Monster
Boar,Black Crowned Crane,Scorpion,Burmese,Bloodhound,,Oilfish,Jackalope
Echidna,Grey Crowned Crane,Camel spider,Chantilly-Tiffany,Border Collie,,Puffer fish,Mokele-mbembe
Fox,Red-crowned Crane,Amblypygi,Chartreux,Boston Terrier,,Sailfish,Loch Ness Monster (Nessie)
Red fox,Siberian Crane,Larva,Cornish Rex,Boxer,,Saury,Tsuchinoko
Goat,Crow,Maggot,Cyprus cat,Brittany,,Sawfish,Yeti
Hedgehog,Carrion Crow,,Devon Rex,Bulldog,,Seahorse,Cupid
Monkey,Cuckoo,,Donskoy,Bullmastiff,,Shark,Cyclops
Platypus,Duck,,Egyptian Mau,Cane Corso,,Edestus,Demon
Pig,Duckling,,European Shorthair,Chihuahua,,Goblin shark,Baphomet
Piglet,Mallard,,Exotic Shorthair,Chow Chow,,Great white shark,Belphegor
Rabbit,Dusky Thrush,,German Rex,Cocker Spaniel,,Hammerhead shark,Legion
Angora rabbit,Dusky Warbler,,Golden British Shorthair,Collie,,Helicoprion,Lucifer
Sheep,Eagle,,Havana Brown,Dachshund,,Saw shark,Satan
Lamb,Bald Eagle,,Highlander,Dalmatian,,Whale shark,Demon boy
,†Haast's Eagle,,Japanese Bobtail,Doberman Pinscher,,Siamese fighting fish,Incubus
Large animals,Egret (animal),,Javanese,English Springer Spaniel,,Swordfish,Demon girl
Alpaca,Little Egret,,Khao Manee,French Bulldog,,Sunfish,Succubus
Bear,Emu,,Korat,German Shepherd,,Surgeonfish,Dragon
Bull,Falcon,,LaPerm,German Shorthaired Pointer,,Regal blue tang,Eastern dragon
Cow,Peregrine Falcon,,Lykoi,Golden Retriever,,Yellow tang,Western dragon
Deer,Finch,,Maine Coon,Great Dane,,Tuna,Vouivre
Elephant,Fringillidae (true finches),,Manx,Great Pyrenees,,,Wyrm
Giraffe,Eurasian Bullfinch,,Munchkin cat,Greyhound,,Whale,Wyvern
Gorilla,Japanese Grosbeak,,Norwegian Forest cat,Havanese,,Beluga whale,Dullahan
Horse,Estrildidae (Estrildid finches),,Ocicat,Irish Setter,,Blue whale,Dwarf
Kangaroo,Double-barred Finch,,Oriental Shorthair,Labrador Retriever,,Dolphin,Elf
Mammoth,Gouldian Finch,,Persian cat,Maltese,,Humpback whale,Dark elf
Panda,Java Sparrow,,Peterbald,Miniature Schnauzer,,Narwhal,Blood elf
,Zebra Finch,,Pixie-bob,Newfoundland,,Orca,Elemental
,Flamingo,,Ragamuffin,Old English Sheepdog,,,Gnome
,Frogmouth,,Ragdoll,Papillon,,Crustacean,Salamander
,Flycatcher (animal),,Russian Blue,Pembroke Welsh Corgi,,Crab,Sylph
,Blue-and-white Flycatcher,,Savannah cat,Pomeranian,,Crayfish,Undine
,Hill Blue Flycatcher,,Scottish Fold,Poodle,,Hermit crab,Enma
,Narcissus Flycatcher,,Selkirk Rex,Portuguese Water Dog,,Horseshoe crab,Fairy
,Verditer Flycatcher,,Siamese cat,Pug,,Isopod,Ghost
,Yellow-rumped Flycatcher,,Siberian Forest cat,Rhodesian Ridgeback,,Cymothoa exigua,Hitodama
,Goose,,Singapura,Rottweiler,,Lobster,Giant
,Greater White-Fronted Goose,,Snowshoe,Samoyed,,Shrimp,Giantess
,Canada goose,,Sokoke,Scottish Terrier,,,Troll
,Seagull,,Somali cat,Shetland Sheepdog,,Aquatic invertebrate,Gnome
,audouin's gull,,Sphynx,Shiba Inu,,Abalone,Goblin
,belchers's gull,,Thai cat,Shih Tzu,,Clam,Golem
,black-billed gull,,Tonkinese,Siberian Husky,,Coral,Hakutaku
,black-headed gull,,Toyger,St. Bernard,,Cuttlefish,Hippocamp
,black-tailed gull,,Turkish Angora,Staffordshire Bull Terrier,,Octopus,Hobbit
,california gull,,Turkish Van,Vizsla,,Oyster,Halfling
,glaucous gull,,Van cat,Weimaraner,,Sea anemone,Hydra
,great black-backed gull,,,West Highland White Terrier,,Sea cucumber,Kage-nashi Dog
,grey gull,,Coats,Whippet,,Sea slug,Kitsune
,grey-headed gull,,black cat,Yorkshire Terrier,,Sea urchin,Kraken
,heermann's gull,,blue cat,,,Squid,Lamia
,herring gull,,brown cat,Afghan hound,,Starfish,Medusa
,ivory gull,,green cat,Akita Inu,,,Longma
,lava gull,,grey cat,Australian Kelpie,,Cambrian animals,Mandragora
,little gull,,orange cat,Beagle,,Anomalocaris,Mermaid
,mediterranean gull,,pink cat,Bernese mountain dog,,Hallucigenia,Merman
,pallas's gull,,purple cat,Border collie,,Opabinia,Mimic
,ring-billed gull,,red cat,Borzoi,,Pambdelurion,Mimic chest
,ross's gull,,white cat,Boston terrier,,Xidazoon,Minotaur
,sabine's gull,,yellow cat,Briard,,,Nue
,slaty-backed gull,,,Bulldog,,,Ogre
,sooty gull,,Markings and patterns,Bull terrier,,,Namahage
,swallow-tailed gull,,calico,Chihuahua,,,Oni
,vega gull,,tortoiseshell cat,Chinese crested dog,,,Orc
,white-eyed gull,,tuxedo cat,Chow Chow,,,Qilin (kirin)
,Hawk,,tabby cat,Dachshund,,,Rusalka
,Goshawk,,,Dalmatian,,,Satyr
,Japanese Sparrowhawk,,Cats do,Dingo,,,Selkie
,Harris's Hawk,,cat loaf,Dobermann,,,Spirit
,Heron,,cats are scared of cucumbers,English springer spaniel,,,Banshee
,Chinese Pond Heron,,hissing,German shepherd,,,Chouchin obake
,Great Blue Heron,,kneading,Golden retriever,,,Genie
,Grey Heron,,nuzzling,Great Dane,,,Harpy
,Striated Heron,,puffing up,Greyhound,,,Kalavinka
,Hummingbird,,purring,Husky,,,Karakasa obake
,Japanese Bush Warbler,,rejected kiss,Irish setter,,,Kyuubi
,Japanese White-eye,,scratching,Japanese spitz,,,Nixie
,kingfisher,,stretching,Maltese,,,Nymph
,Common Kingfisher,,cat stretch,Mastiff,,,Valkyrie
,Crested Kingfisher,,Do it meow way!,Old English Sheepdog,,,Slime
,Kookaburra,,Do Not Want,Papillon,,,Tanuki
,Kiwi,,,Pomeranian,,,Therianthrope
,Southern Brown Kiwi,,Done to cats,Poodle,,,Werewolf
,Kori Bustard,,holding animal,Pug,,,Undead
,Lilac-breasted Roller,,armpit carry,Schnauzer,,,Death
,Long-tailed Widowbird,,huffing,Shar Pei,,,Hei Bai Wuchang
,Magpie,,petting,Shiba inu,,,Shinigami
,Azure-winged Magpie,,headpat,St. Bernard,,,Frankenstein's monster
,Black-throated Magpie-Jay,,,Welsh corgi,,,Ghoul
,Taiwan Blue Magpie,,Feline relatives,Yorkshire Terrier,,,Jiangshi
,Meadow Bunting,,black panther,,,,Bongun
,Moa (animal),,caracal,Furry Dog,,,Munak
,South Island Giant Moa,,cheetah,dog costume,,,Lich
,Nightingale (bird),,cougar,dog ears,,,Mummy
,Northern Lapwing,,jaguar,dog hat,,,Vampire
,Nuthatch,,leopard,dog paws,,,Dracula
,Oriental Dollarbird,,leopard cat,dog tail,,,Count Orlok
,Oriole,,chinese leopard cat,,,,Vrykolakas
,Black-headed Oriole,,lion,Things,,,Zombie
,Black-naped Oriole,,lynx,dog biscuit,,,Unicorn
,Bullock's_oriole,,serval,dog paddle,,,Urban legend
,Osprey,,snow leopard,doggystyle,,,Hasshaku-sama
,Ostrich,,tiger,,,,Kuchisake-Onna
,Owl,,,,,,Kune-kune
,Barn Owl,,Cats by place,,,,Loch Ness Monster
,Burrowing Owl,,cat between legs,,,,Mary-san
,Snowy Owl,,cat in mouth,,,,Mothman
,Southern Boobook,,cat on ass,,,,Siren Head
,Parakeet,,cat on head,,,,Slender Man
,Golden Parakeet,,cat on lap,,,,Sukima Onna
,Jandaya Parakeet,,cat on person,,,,Turbo Baachan
,Rose-ringed Parakeet,,cat on shoulder,,,,Wizard
,Parrot,,,,,,Witch
,African Grey Parrot,,Furry cat,,,,Yamata no Orochi
,Black-headed Parrot,,cat bag,,,,Traditional youkai
,Eclectus Parrot,,cat band,,,,Akaname
,Kakapo,,cat band footwear,,,,Amabie
,Kea (animal),,cat band gloves,,,,Kappa
,Lovebird,,cat ear legwear,,,,Rokurokubi
,Macaw,,cat boy,,,,Tengu
,Blue-and-yellow Macaw,,cat bra,,,,Yuki onna
,Hyacinth Macaw,,cat button,,,,Zashiki-warashi
,Red-and-green Macaw,,cat choker,,,,Yukinko
,Scarlet Macaw,,cat costume,,,,
,Pacific Parrotlet,,cat cutout,,,,African
,Yellow-headed Amazon,,cat cutout panties,,,,Mokele-mbembe
,Peacock,,cat ear bikini,,,,
,Pelican,,cat ear headphones,,,,Ancient Near Eastern
,Penguin,,cat ear panties,,,,Astarte
,Spheniscinae,,cat earrings,,,,
,Adelie Penguin,,cat ears,,,,Arabic
,African Penguin,,slit pupils (cat eyes),,,,Djinn
,Emperor Penguin,,cat feet,,,,Jinn
,Fiordland Penguin,,cat girl,,,,Genie 
,Galapagos Penguin,,cat gloves,,,,Roc
,Humboldt Penguin,,animal hair,,,,Buddhism
,Little Penguin,,cat hair ornament,,,,Enma
,Rockhopper Penguin,,cat hat,,,,Kalavinka
,Yellow-eyed Penguin,,cat helmet,,,,Canaanite
,Palaeeudyptinae,,cat hood,,,,Baal
,Anthropornis,,cat lingerie,,,,
,Pheasant,,cat mask,,,,Celtic (Gaelic/Irish/Scottish)
,Copper Pheasant,,cat nose,,,,Banshee
,Ijima Copper Pheasant,,cat ornament,,,,Brigit
,Golden Pheasant,,cat pajamas,,,,Cait sith
,Green Pheasant,,cat panties,,,,Dullahan
,Lady Amherst's Pheasant,,cat pasties,,,,Selkie
,Pheasant-tailed Jacana,,cat paw,,,,
,Pigeon,,cat paws,,,,Chinese
,Dodo (bird),,cat pendant,,,,Jiangshi
,Fantail Pigeon,,cat print,,,,Longma
,Passenger Pigeon,,cat skull,,,,Christianity
,White-bellied Green Pigeon,,cat slippers,,,,Cherub
,Plover (animal),,cat symbol,,,,Seraph
,Little Ringed Plover,,cat tail,,,,Egyptian
,Potoo,,cat thigh strap,,,,Anubis
,Puffin,,barbed tongue,,,,Apep
,Quail,,cat zipper,,,,Aten
,Japanese Quail,,whiskers,,,,Bastet
,Raggiana Bird-of-paradise,,,,,,Horus
,Red-flanked Bluetail,,Associated,,,,Isis
,Redstarts,,a cat is fine too,,,,Medjed
,Blue-fronted Redstart,,Black Cat,,,,Mummy
,Daurian Redstart,,Bongo Cat,,,,Ra
,Resplendent Quetzal,,cat cafe,,,,Set
,Robin_(animal),,cat day,,,,Sobek
,Japanese Robin,,cat detector,,,,Sphinx
,Roadrunner (animal),,cat furniture,,,,Thoth
,Ryukyu Minivet,,cat burger,,,,
,Secretarybird,,cat litter,,,,European
,Shoebill,,cat o' nine tails,,,,Basilisk
,Siberian Rubythroat,,cat-shaped pillow,,,,Cockatrice
,Sparrow,,cat shooting lightning,,,,Gnome
,Eurasian Tree Sparrow,,cat stretch,,,,Unicorn
,House Sparrow,,cat teaser,,,,
